2026-04-08 01:31:14,376 - INFO - Analyzed: C:/Users/abhid/Downloads/driving licence (1).pdf - Result: {'File Name': 'driving licence (1).pdf', 'Path': 'C:/Users/abhid/Downloads/driving licence (1).pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'No', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-08 01:32:03,653 - INFO - Analyzed: C:/Users/abhid/Downloads/driving licence (1).pdf - Result: {'File Name': 'driving licence (1).pdf', 'Path': 'C:/Users/abhid/Downloads/driving licence (1).pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'No', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-08 01:32:39,745 - INFO - Analyzed: C:/Users/abhid/OneDrive/Documents/java viva.txt - Result: {'File Name': 'java viva.txt', 'Path': 'C:/Users/abhid/OneDrive/Documents/java viva.txt', 'Type': 'Unknown', 'HTML': 'N/A', 'Protected': 'N/A', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-08 02:06:39,121 - INFO - Analyzed: C:/Users/abhid/Downloads/AbhishekDesaiResumeMar2024[1]-1 (1).pdf - Result: {'File Name': 'AbhishekDesaiResumeMar2024[1]-1 (1).pdf', 'Path': 'C:/Users/abhid/Downloads/AbhishekDesaiResumeMar2024[1]-1 (1).pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'No', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-08 02:07:29,298 - INFO - Analyzed: C:/Users/abhid/Downloads/driving licence (1).pdf - Result: {'File Name': 'driving licence (1).pdf', 'Path': 'C:/Users/abhid/Downloads/driving licence (1).pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'No', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-08 02:07:43,376 - INFO - Results exported to logs\analysis_results_20260408_020743.csv
2026-04-08 02:07:57,419 - INFO - Results exported to logs\analysis_results_20260408_020757.csv
2026-04-08 02:09:08,944 - INFO - Analyzed: C:/Users/abhid/Downloads/AbhishekDesaiResumeMar2024[1]-1 (1).pdf - Result: {'File Name': 'AbhishekDesaiResumeMar2024[1]-1 (1).pdf', 'Path': 'C:/Users/abhid/Downloads/AbhishekDesaiResumeMar2024[1]-1 (1).pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'No', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-08 02:09:15,934 - INFO - Analyzed: C:/Users/abhid/Downloads/AbhishekDesaiResumeMar2024[1]-1 (1).pdf - Result: {'File Name': 'AbhishekDesaiResumeMar2024[1]-1 (1).pdf', 'Path': 'C:/Users/abhid/Downloads/AbhishekDesaiResumeMar2024[1]-1 (1).pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'No', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-08 02:09:16,082 - INFO - Analyzed: C:/Users/abhid/Downloads/graduation marksheet.pdf - Result: {'File Name': 'graduation marksheet.pdf', 'Path': 'C:/Users/abhid/Downloads/graduation marksheet.pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'No', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-08 02:17:43,282 - INFO - Analyzed: C:/Users/abhid/Downloads/Statement_2026MTH03_016575578.pdf - Result: {'File Name': 'Statement_2026MTH03_016575578.pdf', 'Path': 'C:/Users/abhid/Downloads/Statement_2026MTH03_016575578.pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'Yes', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-08 02:18:41,083 - INFO - Analyzed: C:/Users/abhid/Downloads/Statement_2026MTH03_016575578.pdf - Result: {'File Name': 'Statement_2026MTH03_016575578.pdf', 'Path': 'C:/Users/abhid/Downloads/Statement_2026MTH03_016575578.pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'Yes', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-08 02:18:58,409 - INFO - Analyzed: C:/Users/abhid/Downloads/Statement_2026MTH03_016575578.pdf - Result: {'File Name': 'Statement_2026MTH03_016575578.pdf', 'Path': 'C:/Users/abhid/Downloads/Statement_2026MTH03_016575578.pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'Yes', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-08 02:18:58,411 - INFO - Analyzed: C:/Users/abhid/Downloads/AbhishekDesaiResumeMar2024[1]-1 (1).pdf - Result: {'File Name': 'AbhishekDesaiResumeMar2024[1]-1 (1).pdf', 'Path': 'C:/Users/abhid/Downloads/AbhishekDesaiResumeMar2024[1]-1 (1).pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'No', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
