2026-04-09 00:43:08,583 - INFO - Analyzed: C:/Users/abhid/Downloads/Statement_2026MTH03_016575578.pdf - Result: {'File Name': 'Statement_2026MTH03_016575578.pdf', 'Path': 'C:/Users/abhid/Downloads/Statement_2026MTH03_016575578.pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'Yes', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-09 01:19:38,570 - INFO - Analyzed: C:/Users/abhid/Downloads/abhi.html.txt - Result: {'File Name': 'abhi.html.txt', 'Path': 'C:/Users/abhid/Downloads/abhi.html.txt', 'Type': 'Unknown', 'HTML': 'N/A', 'Protected': 'N/A', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-09 01:19:38,579 - INFO - Analyzed: C:/Users/abhid/Downloads/Statement_2026MTH03_016575578.pdf - Result: {'File Name': 'Statement_2026MTH03_016575578.pdf', 'Path': 'C:/Users/abhid/Downloads/Statement_2026MTH03_016575578.pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'Yes', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-09 01:19:38,674 - INFO - Analyzed: C:/Users/abhid/Downloads/photo_2026-04-08_02-53-41.jpg - Result: {'File Name': 'photo_2026-04-08_02-53-41.jpg', 'Path': 'C:/Users/abhid/Downloads/photo_2026-04-08_02-53-41.jpg', 'Type': 'Image', 'HTML': 'N/A', 'Protected': 'N/A', 'Blurry': 'No', 'Blur Score': '5135.50', 'Cropped': 'No', 'Status': 'Completed'}
2026-04-09 01:19:38,675 - INFO - Analyzed: C:/Users/abhid/Downloads/10th marksheet.pdf - Result: {'File Name': '10th marksheet.pdf', 'Path': 'C:/Users/abhid/Downloads/10th marksheet.pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'No', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-09 01:20:06,738 - INFO - Results exported to logs\analysis_results_20260409_012006.csv
2026-04-09 10:16:03,038 - INFO - Analyzed: C:/Users/abhid/Downloads/abhi.html.txt - Result: {'File Name': 'abhi.html.txt', 'Path': 'C:/Users/abhid/Downloads/abhi.html.txt', 'Type': 'Unknown', 'HTML': 'N/A', 'Protected': 'N/A', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-09 10:16:03,053 - INFO - Analyzed: C:/Users/abhid/Downloads/smart_file_analyzer.zip - Result: {'File Name': 'smart_file_analyzer.zip', 'Path': 'C:/Users/abhid/Downloads/smart_file_analyzer.zip', 'Type': 'Unknown', 'HTML': 'N/A', 'Protected': 'N/A', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-09 10:16:03,224 - INFO - Analyzed: C:/Users/abhid/Downloads/photo_2026-04-08_02-53-41.jpg - Result: {'File Name': 'photo_2026-04-08_02-53-41.jpg', 'Path': 'C:/Users/abhid/Downloads/photo_2026-04-08_02-53-41.jpg', 'Type': 'Image', 'HTML': 'N/A', 'Protected': 'N/A', 'Blurry': 'No', 'Blur Score': '5135.50', 'Cropped': 'No', 'Status': 'Completed'}
2026-04-09 10:16:03,238 - INFO - Analyzed: C:/Users/abhid/Downloads/Statement_2026MTH03_016575578.pdf - Result: {'File Name': 'Statement_2026MTH03_016575578.pdf', 'Path': 'C:/Users/abhid/Downloads/Statement_2026MTH03_016575578.pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'Yes', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-09 10:16:17,753 - INFO - Analyzed: C:/Users/abhid/Downloads/abhi.html.txt - Result: {'File Name': 'abhi.html.txt', 'Path': 'C:/Users/abhid/Downloads/abhi.html.txt', 'Type': 'Unknown', 'HTML': 'N/A', 'Protected': 'N/A', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-09 10:16:17,753 - INFO - Analyzed: C:/Users/abhid/Downloads/smart_file_analyzer.zip - Result: {'File Name': 'smart_file_analyzer.zip', 'Path': 'C:/Users/abhid/Downloads/smart_file_analyzer.zip', 'Type': 'Unknown', 'HTML': 'N/A', 'Protected': 'N/A', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-09 10:16:17,811 - INFO - Analyzed: C:/Users/abhid/Downloads/photo_2026-04-08_02-53-41.jpg - Result: {'File Name': 'photo_2026-04-08_02-53-41.jpg', 'Path': 'C:/Users/abhid/Downloads/photo_2026-04-08_02-53-41.jpg', 'Type': 'Image', 'HTML': 'N/A', 'Protected': 'N/A', 'Blurry': 'No', 'Blur Score': '5135.50', 'Cropped': 'No', 'Status': 'Completed'}
2026-04-09 10:16:17,819 - INFO - Analyzed: C:/Users/abhid/Downloads/Statement_2026MTH03_016575578.pdf - Result: {'File Name': 'Statement_2026MTH03_016575578.pdf', 'Path': 'C:/Users/abhid/Downloads/Statement_2026MTH03_016575578.pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'Yes', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
